county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Napa,3/29/20,0,26,,,,,5
Fresno,3/29/20,8,116,,,3,14,22
San Diego,3/29/20,121,211,,,77,39,205
Santa Clara,3/29/20,141,72,,,65,15,70
Merced,3/29/20,1,7,,,0,0,3
Santa Cruz,3/29/20,0,0,,,0,0,
Inyo,3/29/20,,,,,,,
,3/29/20,1,1,,,1,0,5
Shasta,3/29/20,0,0,,,0,0,
Trinity,3/29/20,0,0,,,0,0,
Lassen,3/29/20,0,2,,,0,0,
Calaveras,3/29/20,,,,,,,
San Benito,3/29/20,1,1,,,1,0,1
Mendocino,3/29/20,1,11,,,0,0,1
Nevada,3/29/20,23,,,,1,0,3
Madera,3/29/20,1,6,,,1,1,8
Monterey,3/29/20,2,16,,,1,2,10
Sacramento,3/29/20,36,27,,,12,18,50
Colusa,3/29/20,,,,,,,
Riverside,3/29/20,44,78,,,13,20,46
San Luis Obispo,3/29/20,7,12,,,3,4,948
San Bernardino,3/29/20,33,123,,,19,20,65
El Dorado,3/29/20,0,6,,,0,3,3
Mono,3/29/20,0,1,,,0,0,2
Siskiyou,3/29/20,0,0,,,0,0,2
San Francisco,3/29/20,50,73,,,24,10,61
Santa Barbara,3/29/20,15,21,,,9,3,47
Sutter,3/29/20,0,0,,,0,0,
Del Norte,3/29/20,1,2,,,0,0,3
Placer,3/29/20,18,14,,,4,1,10
Glenn,3/29/20,,,,,,,
Tulare,3/29/20,6,13,,,5,3,7
Tuolumne,3/29/20,1,5,,,0,0,0
Kern,3/29/20,16,57,,,8,8,39
Yuba,3/29/20,2,12,,,2,4,2
Butte,3/29/20,,,,,,,
Humboldt,3/29/20,1,10,,,0,0,18
Solano,3/29/20,7,27,,,4,1,28
Contra Costa,3/29/20,23,62,,,8,15,62
Tehama,3/29/20,0,0,,,0,0,2
San Mateo,3/29/20,46,27,,,16,10,28
Stanislaus,3/29/20,20,48,,,9,8,25
Plumas,3/29/20,0,1,,,0,1,
Yolo,3/29/20,2,3,,,1,1,0
Lake,3/29/20,0,1,,,0,1,2
Imperial,3/29/20,5,100,,,1,2,2
Kings,3/29/20,2,5,,,1,0,2
San Joaquin,3/29/20,34,35,,,5,2,7
Ventura,3/29/20,24,85,,,5,19,14
Orange,3/29/20,74,167,,,31,40,131
Alameda,3/29/20,36,91,,,20,16,119
Sonoma,3/29/20,7,20,,,2,5,12
Marin,3/29/20,7,13,,,2,6,11
Los Angeles,3/29/20,489,1132,,,191,182,345
Modoc,3/29/20,0,0,,,0,0,
Amador,3/29/20,1,0,,,0,0,2
Napa,3/30/20,3,8,,,1,0,9
Trinity,3/30/20,0,0,,,0,0,
San Diego,3/30/20,146,446,,,72,23,228
Santa Clara,3/30/20,153,93,,,74,23,103
Colusa,3/30/20,0,1,,,0,1,5
Lake,3/30/20,0,1,,,0,1,3
Contra Costa,3/30/20,25,54,,,11,6,90
Glenn,3/30/20,0,0,,,0,0,
Riverside,3/30/20,60,133,,,22,33,77
Stanislaus,3/30/20,17,51,,,9,5,29
San Bernardino,3/30/20,67,179,,,27,33,66
Nevada,3/30/20,26,17,,,2,5,3
Madera,3/30/20,1,5,,,1,3,4
Humboldt,3/30/20,1,8,,,0,0,10
Placer,3/30/20,19,19,,,5,1,29
Mono,3/30/20,0,1,,,0,0,2
Shasta,3/30/20,1,4,,,0,0,13
Modoc,3/30/20,0,31,,,0,0,
Inyo,3/30/20,,,,,,,
San Francisco,3/30/20,58,92,,,18,7,90
San Mateo,3/30/20,56,40,,,18,11,47
Tulare,3/30/20,5,21,,,4,6,7
San Joaquin,3/30/20,28,30,,,8,4,53
Mendocino,3/30/20,2,11,,,0,1,8
Kings,3/30/20,2,12,,,1,2,0
Los Angeles,3/30/20,601,1277,,,245,244,456
Amador,3/30/20,0,1,,,0,0,4
Butte,3/30/20,4,12,,,2,1,5
Imperial,3/30/20,19,109,,,3,3,4
Plumas,3/30/20,0,1,,,0,0,
Solano,3/30/20,15,16,,,6,0,47
Siskiyou,3/30/20,0,0,,,0,0,3
El Dorado,3/30/20,0,9,,,0,6,9
San Luis Obispo,3/30/20,5,11,,,3,4,957
Orange,3/30/20,98,251,,,42,58,131
Tuolumne,3/30/20,1,2,,,0,0,3
Monterey,3/30/20,11,16,,,4,0,17
,3/30/20,5,10,,,3,3,9
Yolo,3/30/20,2,2,,,1,2,0
Del Norte,3/30/20,0,2,,,0,0,5
Tehama,3/30/20,0,2,,,0,0,2
Merced,3/30/20,1,9,,,0,2,11
Calaveras,3/30/20,0,3,,,0,1,5
Alameda,3/30/20,59,89,,,27,18,146
Sacramento,3/30/20,45,86,,,21,23,58
Lassen,3/30/20,0,4,,,0,0,
Yuba,3/30/20,3,17,,,2,4,10
Kern,3/30/20,18,123,,,6,8,51
Sonoma,3/30/20,7,22,,,3,4,29
Ventura,3/30/20,25,82,,,5,28,15
Santa Cruz,3/30/20,0,2,,,0,0,4
San Benito,3/30/20,1,1,,,1,0,1
Fresno,3/30/20,10,88,,,3,14,24
Sutter,3/30/20,0,0,,,0,0,
Santa Barbara,3/30/20,19,25,,,11,7,48
Marin,3/30/20,10,9,,,4,2,16
San Diego,3/31/20,158,408,,,75,39,208
Imperial,3/31/20,12,100,,,3,4,4
Santa Cruz,3/31/20,1,10,,,1,2,7
Del Norte,3/31/20,0,4,,,0,0,3
Sonoma,3/31/20,8,18,,,3,3,21
Alameda,3/31/20,56,94,,,27,17,77
Lake,3/31/20,0,4,,,0,2,3
Placer,3/31/20,18,27,,,6,0,28
Kern,3/31/20,14,63,,,6,6,46
Tehama,3/31/20,0,2,,,0,0,4
Riverside,3/31/20,80,155,,,28,59,75
Trinity,3/31/20,0,0,,,0,0,
Tuolumne,3/31/20,0,37,,,0,0,4
San Bernardino,3/31/20,82,231,,,33,48,63
Sutter,3/31/20,0,0,,,0,0,
Glenn,3/31/20,0,0,,,0,0,
Nevada,3/31/20,36,40,,,2,1,6
Tulare,3/31/20,6,14,,,4,5,9
Inyo,3/31/20,,83,,,0,0,6
Santa Barbara,3/31/20,19,29,,,14,7,48
Lassen,3/31/20,0,7,,,0,0,
Marin,3/31/20,9,14,,,4,2,15
Napa,3/31/20,1,5,,,1,1,12
Amador,3/31/20,0,0,,,0,0,4
Kings,3/31/20,1,3,,,1,2,4
Yuba,3/31/20,2,21,,,2,4,6
Sacramento,3/31/20,53,110,,,20,31,66
San Mateo,3/31/20,60,23,,,18,5,37
Contra Costa,3/31/20,27,54,,,11,10,68
Fresno,3/31/20,30,274,,,4,19,23
Stanislaus,3/31/20,20,31,,,9,1,34
Colusa,3/31/20,0,1,,,0,1,5
Modoc,3/31/20,0,19,,,0,0,
Madera,3/31/20,1,3,,,1,0,5
Calaveras,3/31/20,0,1,,,0,0,4
Shasta,3/31/20,1,5,,,1,0,4
Siskiyou,3/31/20,0,0,,,0,0,4
Monterey,3/31/20,11,15,,,4,2,17
El Dorado,3/31/20,10,9,,,0,6,12
Orange,3/31/20,105,233,,,45,44,131
Ventura,3/31/20,21,90,,,5,24,12
Santa Clara,3/31/20,155,98,,,73,17,92
San Benito,3/31/20,1,0,,,1,0,1
Solano,3/31/20,15,15,,,6,5,42
San Francisco,3/31/20,67,69,,,30,14,77
Humboldt,3/31/20,1,11,,,0,4,8
Los Angeles,3/31/20,713,1239,,,315,239,445
Merced,3/31/20,3,11,,,0,2,10
Yolo,3/31/20,3,2,,,2,2,1
San Luis Obispo,3/31/20,7,15,,,3,6,955
Mono,3/31/20,0,1,,,0,0,2
Butte,3/31/20,4,20,,,2,3,2
San Joaquin,3/31/20,44,54,,,14,5,28
Plumas,3/31/20,0,0,,,0,0,
Mendocino,3/31/20,0,1,,,0,0,7
Trinity,4/1/20,0,0,,,0,0,
Alameda,4/1/20,52,76,,,27,15,106
Napa,4/1/20,2,2,,,0,1,9
Sacramento,4/1/20,53,138,,,20,33,74
Solano,4/1/20,14,18,,,5,2,31
Kings,4/1/20,2,6,,,1,2,1
Ventura,4/1/20,22,96,,,5,23,27
Mariposa,4/1/20,0,0,,,0,0,
Tuolumne,4/1/20,0,0,,,0,0,2
Colusa,4/1/20,0,1,,,0,1,5
Monterey,4/1/20,13,16,,,4,4,15
Madera,4/1/20,1,3,,,1,0,4
Santa Cruz,4/1/20,2,12,,,2,2,3
Fresno,4/1/20,19,101,,,5,13,53
San Diego,4/1/20,168,340,,,71,32,215
Sutter,4/1/20,0,0,,,0,0,
,4/1/20,6,3,,,6,1,9
Modoc,4/1/20,0,1,,,0,0,
Merced,4/1/20,3,15,,,0,3,9
Orange,4/1/20,117,221,,,50,48,118
El Dorado,4/1/20,14,8,,,1,3,9
Contra Costa,4/1/20,31,42,,,12,12,61
Imperial,4/1/20,4,15,,,3,4,7
Yolo,4/1/20,3,3,,,1,1,2
San Luis Obispo,4/1/20,8,10,,,5,6,968
Placer,4/1/20,25,28,,,6,2,7
Nevada,4/1/20,36,54,,,0,4,3
Plumas,4/1/20,0,0,,,0,0,
Stanislaus,4/1/20,25,39,,,10,6,31
San Francisco,4/1/20,67,66,,,30,8,64
Butte,4/1/20,5,33,,,2,4,9
Humboldt,4/1/20,1,9,,,0,3,7
San Bernardino,4/1/20,95,196,,,39,52,34
Tulare,4/1/20,4,12,,,3,4,9
Riverside,4/1/20,85,182,,,29,47,76
Shasta,4/1/20,1,4,,,0,1,13
Kern,4/1/20,15,45,,,7,9,32
Calaveras,4/1/20,0,1,,,0,0,5
Sonoma,4/1/20,5,18,,,1,2,22
Los Angeles,4/1/20,739,1332,,,335,220,492
San Mateo,4/1/20,57,35,,,19,9,36
Inyo,4/1/20,7,89,,,0,0,6
Tehama,4/1/20,0,1,,,0,1,4
Amador,4/1/20,0,3,,,0,0,2
Glenn,4/1/20,,,,,,,
Del Norte,4/1/20,0,5,,,0,0,3
Marin,4/1/20,9,19,,,4,2,14
Mono,4/1/20,0,0,,,0,0,2
Lassen,4/1/20,0,7,,,0,0,
San Benito,4/1/20,2,0,,,2,0,0
Mendocino,4/1/20,0,2,,,0,0,8
Lake,4/1/20,0,2,,,0,0,2
Yuba,4/1/20,2,24,,,2,4,6
San Joaquin,4/1/20,25,35,,,16,11,21
Santa Clara,4/1/20,160,85,,,77,15,91
Siskiyou,4/1/20,0,5,,,0,2,3
Santa Barbara,4/1/20,23,23,,,15,6,51
Orange,4/2/20,129,225,,,67,47,96
Napa,4/2/20,1,4,,,1,1,12
El Dorado,4/2/20,15,12,,,0,6,10
Los Angeles,4/2/20,818,1270,,,346,193,488
San Bernardino,4/2/20,126,185,,,50,45,37
San Mateo,4/2/20,62,40,,,26,4,26
Nevada,4/2/20,38,58,,,2,1,6
Glenn,4/2/20,0,0,,,0,0,
Plumas,4/2/20,0,0,,,0,0,
Marin,4/2/20,7,16,,,3,1,16
Yuba,4/2/20,2,25,,,2,6,4
San Luis Obispo,4/2/20,5,5,,,4,4,966
Stanislaus,4/2/20,30,43,,,11,7,22
Yolo,4/2/20,3,2,,,2,3,0
Santa Cruz,4/2/20,4,4,,,3,0,7
Inyo,4/2/20,8,102,,,0,1,3
Ventura,4/2/20,27,111,,,7,24,15
Shasta,4/2/20,2,4,,,1,0,10
Monterey,4/2/20,14,14,,,4,2,12
,4/2/20,12,9,,,5,2,9
Del Norte,4/2/20,0,3,,,0,0,2
San Benito,4/2/20,2,0,,,2,0,0
Santa Clara,4/2/20,163,101,,,69,19,95
San Joaquin,4/2/20,42,42,,,20,7,17
Modoc,4/2/20,0,1,,,0,0,
Tehama,4/2/20,0,1,,,0,1,4
San Francisco,4/2/20,75,60,,,32,11,58
Kern,4/2/20,27,77,,,12,23,36
Siskiyou,4/2/20,0,3,,,0,2,4
Sonoma,4/2/20,8,18,,,1,0,10
Riverside,4/2/20,136,181,,,45,49,104
Fresno,4/2/20,17,74,,,6,13,33
Contra Costa,4/2/20,32,38,,,13,10,73
Kings,4/2/20,2,6,,,1,1,7
Madera,4/2/20,1,7,,,1,3,6
Placer,4/2/20,32,15,,,9,0,11
Sacramento,4/2/20,71,92,,,24,19,80
Merced,4/2/20,4,5,,,0,1,3
Mono,4/2/20,18,2,,,0,0,2
Trinity,4/2/20,0,0,,,0,0,
Humboldt,4/2/20,1,8,,,0,2,8
Imperial,4/2/20,4,16,,,3,5,6
Sutter,4/2/20,0,0,,,,,
Amador,4/2/20,0,3,,,0,0,2
Lassen,4/2/20,0,7,,,0,0,
Lake,4/2/20,0,1,,,0,0,2
Tulare,4/2/20,4,26,,,4,5,3
Colusa,4/2/20,0,1,,,0,1,5
San Diego,4/2/20,144,343,,,69,35,206
Solano,4/2/20,15,8,,,7,1,27
Mariposa,4/2/20,0,1,,,0,0,
Tuolumne,4/2/20,0,0,,,0,0,2
Santa Barbara,4/2/20,26,44,,,18,10,47
Butte,4/2/20,4,26,,,2,2,12
Alameda,4/2/20,57,76,,,29,17,112
Mendocino,4/2/20,0,1,,,0,0,8
Calaveras,4/2/20,0,1,,,0,0,5
Stanislaus,4/3/20,28,45,,,12,8,22
Yolo,4/3/20,2,7,,,3,6,4
Mono,4/3/20,18,2,,,0,0,2
Monterey,4/3/20,16,18,,,3,1,17
Humboldt,4/3/20,1,7,,,0,0,10
Butte,4/3/20,3,19,,,2,6,9
Ventura,4/3/20,22,116,,,6,28,56
San Joaquin,4/3/20,41,38,,,18,8,22
San Francisco,4/3/20,80,71,,,39,8,74
Siskiyou,4/3/20,0,3,,,0,1,4
El Dorado,4/3/20,15,9,,,0,4,14
Madera,4/3/20,0,5,,,0,1,7
San Diego,4/3/20,171,308,,,84,28,216
Tuolumne,4/3/20,0,0,,,0,0,1
Mariposa,4/3/20,0,2,,,0,0,
Colusa,4/3/20,1,0,,,1,0,5
Solano,4/3/20,16,21,,,7,5,23
Merced,4/3/20,4,5,,,1,1,4
Inyo,4/3/20,8,102,,,1,2,1
Santa Barbara,4/3/20,27,29,,,18,4,50
Kings,4/3/20,0,3,,,1,0,3
Kern,4/3/20,35,73,,,12,16,47
Imperial,4/3/20,9,7,,,7,0,5
San Luis Obispo,4/3/20,4,5,,,3,2,967
Del Norte,4/3/20,0,2,,,0,0,2
Tehama,4/3/20,0,0,,,0,0,8
Amador,4/3/20,0,0,,,0,0,1
Sacramento,4/3/20,77,76,,,28,17,76
Placer,4/3/20,21,23,,,10,1,7
Contra Costa,4/3/20,31,39,,,15,10,75
Napa,4/3/20,1,9,,,0,1,9
San Mateo,4/3/20,65,39,,,26,4,38
Marin,4/3/20,6,16,,,3,5,17
Sonoma,4/3/20,6,24,,,2,3,15
Plumas,4/3/20,0,0,,,0,0,
Lassen,4/3/20,0,3,,,0,0,
Shasta,4/3/20,2,9,,,1,3,14
Glenn,4/3/20,0,0,,,0,0,
Modoc,4/3/20,0,0,,,0,0,
Trinity,4/3/20,0,0,,,0,0,
Tulare,4/3/20,6,15,,,5,2,3
,4/3/20,15,40,,,5,3,2
Mendocino,4/3/20,0,5,,,0,1,6
Santa Clara,4/3/20,164,83,,,71,17,97
Yuba,4/3/20,2,12,,,2,2,5
Riverside,4/3/20,105,182,,,44,59,127
Alameda,4/3/20,64,74,,,32,13,117
Lake,4/3/20,0,2,,,0,1,2
Calaveras,4/3/20,0,1,,,0,0,5
San Bernardino,4/3/20,118,204,,,44,53,57
Los Angeles,4/3/20,962,1239,,,422,209,473
San Benito,4/3/20,2,0,,,2,0,0
Sutter,4/3/20,0,0,,,,,
Orange,4/3/20,131,182,,,66,36,151
Santa Cruz,4/3/20,4,8,,,3,0,2
Nevada,4/3/20,2,4,,,2,1,5
Fresno,4/3/20,15,81,,,7,16,35
Santa Cruz,4/4/20,4,6,,,3,0,7
Colusa,4/4/20,1,0,,,1,0,5
Placer,4/4/20,23,14,,,10,1,12
Kern,4/4/20,33,54,,,14,11,29
Napa,4/4/20,1,8,,,0,1,6
San Diego,4/4/20,177,218,,,86,19,222
Orange,4/4/20,143,213,,,70,45,153
Madera,4/4/20,0,4,,,0,0,8
Humboldt,4/4/20,1,4,,,0,0,7
Mariposa,4/4/20,0,2,,,0,0,
Calaveras,4/4/20,0,1,,,0,0,5
Marin,4/4/20,5,16,,,3,5,12
El Dorado,4/4/20,15,9,,,0,3,12
Sutter,4/4/20,0,0,,,,,
Lake,4/4/20,0,4,,,0,1,4
Contra Costa,4/4/20,30,47,,,12,7,87
Monterey,4/4/20,16,25,,,4,2,18
Tulare,4/4/20,8,20,,,5,1,6
San Joaquin,4/4/20,43,30,,,16,7,24
Glenn,4/4/20,0,0,,,0,0,
Los Angeles,4/4/20,1007,1190,,,449,181,537
Fresno,4/4/20,14,93,,,7,20,36
Del Norte,4/4/20,0,2,,,0,0,1
Santa Clara,4/4/20,159,79,,,72,19,91
Siskiyou,4/4/20,0,2,,,0,1,5
Nevada,4/4/20,2,6,,,2,2,5
Kings,4/4/20,1,9,,,1,0,0
Ventura,4/4/20,21,127,,,7,25,10
Lassen,4/4/20,0,0,,,0,0,
,4/4/20,15,4,,,5,0,7
Tuolumne,4/4/20,0,1,,,0,1,2
Santa Barbara,4/4/20,28,34,,,18,2,53
Sacramento,4/4/20,69,76,,,25,18,82
Plumas,4/4/20,0,0,,,0,0,
Mono,4/4/20,20,2,,,0,0,2
Trinity,4/4/20,0,0,,,0,0,
Mendocino,4/4/20,0,3,,,0,1,7
Modoc,4/4/20,0,0,,,0,0,
Sonoma,4/4/20,7,16,,,2,6,15
Solano,4/4/20,16,19,,,7,2,23
Butte,4/4/20,3,14,,,1,4,7
Inyo,4/4/20,8,106,,,1,1,2
San Bernardino,4/4/20,138,254,,,51,66,67
Riverside,4/4/20,126,186,,,39,56,125
Alameda,4/4/20,60,95,,,35,18,120
Shasta,4/4/20,2,10,,,4,0,13
Yuba,4/4/20,2,16,,,2,2,7
Imperial,4/4/20,9,10,,,5,2,5
Merced,4/4/20,5,14,,,1,1,6
Amador,4/4/20,0,0,,,0,0,2
San Francisco,4/4/20,80,65,,,37,7,79
Tehama,4/4/20,0,1,,,0,0,8
Yolo,4/4/20,4,5,,,3,3,4
San Luis Obispo,4/4/20,4,6,,,3,3,954
San Mateo,4/4/20,66,19,,,25,6,40
San Benito,4/4/20,2,3,,,2,0,0
Stanislaus,4/4/20,30,45,,,12,9,26
Placer,4/5/20,23,13,,,10,1,10
Los Angeles,4/5/20,1094,1082,,,473,166,554
Stanislaus,4/5/20,30,25,,,14,5,30
Orange,4/5/20,144,221,,,70,46,156
Colusa,4/5/20,1,0,,,1,0,5
San Joaquin,4/5/20,46,24,,,17,4,19
Contra Costa,4/5/20,29,35,,,15,10,74
Marin,4/5/20,5,15,,,3,5,13
Sacramento,4/5/20,64,78,,,23,26,82
Santa Clara,4/5/20,166,69,,,68,18,90
Trinity,4/5/20,0,0,,,0,0,
Tehama,4/5/20,0,1,,,0,0,5
Plumas,4/5/20,0,0,,,0,0,
Glenn,4/5/20,0,0,,,0,0,
Kings,4/5/20,3,1,,,2,0,0
Mendocino,4/5/20,0,3,,,0,2,4
Ventura,4/5/20,21,128,,,7,28,12
San Luis Obispo,4/5/20,2,11,,,2,9,28
Lassen,4/5/20,0,0,,,0,0,
Butte,4/5/20,2,16,,,1,6,10
Lake,4/5/20,0,4,,,0,2,3
Tuolumne,4/5/20,0,0,,,0,0,4
Monterey,4/5/20,16,15,,,4,0,23
Napa,4/5/20,1,8,,,0,1,11
Imperial,4/5/20,9,9,,,8,1,3
Siskiyou,4/5/20,0,2,,,0,2,3
Merced,4/5/20,15,10,,,1,3,8
Modoc,4/5/20,0,0,,,0,0,
Del Norte,4/5/20,0,1,,,0,0,1
Amador,4/5/20,0,0,,,0,0,2
Madera,4/5/20,0,1,,,0,0,8
Kern,4/5/20,23,27,,,12,4,40
Sutter,4/5/20,0,0,,,0,0,
El Dorado,4/5/20,16,6,,,0,3,7
Nevada,4/5/20,2,4,,,2,1,3
San Benito,4/5/20,3,0,,,2,0,0
Mariposa,4/5/20,0,2,,,0,0,
Riverside,4/5/20,129,207,,,47,60,130
Mono,4/5/20,20,2,,,0,0,2
Solano,4/5/20,15,17,,,6,24,3
Inyo,4/5/20,9,106,,,1,0,3
Calaveras,4/5/20,0,0,,,0,0,6
Santa Cruz,4/5/20,5,12,,,4,4,10
Shasta,4/5/20,8,11,,,4,0,13
Tulare,4/5/20,4,20,,,8,2,3
Yuba,4/5/20,1,14,,,1,1,10
San Diego,4/5/20,179,220,,,89,31,247
Sonoma,4/5/20,6,21,,,2,6,16
Fresno,4/5/20,16,81,,,8,15,39
San Mateo,4/5/20,69,15,,,24,6,36
Humboldt,4/5/20,2,3,,,0,0,8
Santa Barbara,4/5/20,31,26,,,18,2,59
San Francisco,4/5/20,79,68,,,37,11,74
Alameda,4/5/20,72,87,,,39,13,113
San Bernardino,4/5/20,146,240,,,59,54,70
Yolo,4/5/20,3,6,,,3,3,4
Orange,4/6/20,145,171,,,73,33,134
Mono,4/6/20,20,2,,,0,0,2
Calaveras,4/6/20,0,0,,,0,0,6
Yolo,4/6/20,4,0,,,3,4,-3
Siskiyou,4/6/20,0,0,,,0,0,5
Placer,4/6/20,20,12,,,10,1,24
Solano,4/6/20,15,21,,,6,6,28
Santa Barbara,4/6/20,34,26,,,19,5,54
Glenn,4/6/20,0,0,,,0,0,
Riverside,4/6/20,129,193,,,46,65,152
Kern,4/6/20,24,36,,,12,5,39
Los Angeles,4/6/20,1166,1070,,,486,175,587
Fresno,4/6/20,18,81,,,11,20,45
Merced,4/6/20,4,2,,,0,2,4
El Dorado,4/6/20,16,1,,,0,0,10
Colusa,4/6/20,0,0,,,0,0,6
Napa,4/6/20,0,7,,,0,0,15
Tuolumne,4/6/20,0,0,,,0,0,
Butte,4/6/20,1,15,,,1,5,9
Humboldt,4/6/20,3,12,,,0,3,2
Shasta,4/6/20,6,3,,,2,2,28
San Diego,4/6/20,187,224,,,83,25,270
Santa Clara,4/6/20,181,49,,,79,10,100
Marin,4/6/20,8,8,,,4,4,13
Modoc,4/6/20,0,0,,,0,0,
Sacramento,4/6/20,77,78,,,26,19,75
Mendocino,4/6/20,0,2,,,0,2,10
Mariposa,4/6/20,0,3,,,0,0,
Kings,4/6/20,3,3,,,2,0,3
Lassen,4/6/20,0,0,,,0,0,
San Mateo,4/6/20,68,20,,,25,5,36
Santa Cruz,4/6/20,5,9,,,4,2,5
Madera,4/6/20,0,2,,,0,1,8
San Bernardino,4/6/20,148,185,,,60,43,102
Nevada,4/6/20,1,5,,,1,2,4
Imperial,4/6/20,9,14,,,7,2,3
Stanislaus,4/6/20,28,28,,,12,4,37
Amador,4/6/20,0,0,,,0,0,2
Tulare,4/6/20,12,24,,,8,3,16
Trinity,4/6/20,0,0,,,0,0,
San Luis Obispo,4/6/20,2,3,,,2,2,42
Inyo,4/6/20,9,114,,,1,0,3
Monterey,4/6/20,16,15,,,5,1,18
Lake,4/6/20,0,8,,,0,2,1
Tehama,4/6/20,0,0,,,0,0,4
Contra Costa,4/6/20,30,28,,,15,11,78
San Benito,4/6/20,3,3,,,2,0,0
San Francisco,4/6/20,80,71,,,34,9,71
Yuba,4/6/20,1,19,,,1,3,7
San Joaquin,4/6/20,31,32,,,14,3,20
Alameda,4/6/20,79,70,,,43,19,92
Ventura,4/6/20,22,106,,,9,20,32
Del Norte,4/6/20,0,3,,,0,0,0
Plumas,4/6/20,0,0,,,0,0,
Sonoma,4/6/20,6,18,,,2,4,20
Sutter,4/6/20,0,0,,,,,
Mariposa,4/7/20,0,3,,,0,0,
Mono,4/7/20,20,2,,,0,0,2
Butte,4/7/20,1,14,,,1,5,6
Plumas,4/7/20,0,1,,,0,0,
Colusa,4/7/20,0,0,,,0,0,6
San Diego,4/7/20,203,124,,,87,29,189
Lassen,4/7/20,0,1,,,0,0,
Lake,4/7/20,0,0,,,0,0,1
El Dorado,4/7/20,16,2,,,0,3,10
Santa Cruz,4/7/20,4,4,,,4,3,4
Sacramento,4/7/20,74,91,,,28,18,72
Los Angeles,4/7/20,1251,1350,,,517,162,603
San Benito,4/7/20,3,3,,,2,0,0
San Joaquin,4/7/20,31,33,,,14,4,20
Del Norte,4/7/20,0,3,,,0,1,2
San Luis Obispo,4/7/20,2,5,,,2,4,30
Alameda,4/7/20,76,84,,,43,25,90
Kings,4/7/20,3,4,,,2,0,3
Shasta,4/7/20,5,8,,,2,3,6
Tehama,4/7/20,0,1,,,0,0,2
San Mateo,4/7/20,63,13,,,26,2,35
Monterey,4/7/20,18,25,,,5,4,21
Santa Clara,4/7/20,187,47,,,77,7,105
Tuolumne,4/7/20,0,0,,,0,0,0
Napa,4/7/20,0,5,,,0,3,7
Riverside,4/7/20,129,207,,,57,57,129
Nevada,4/7/20,1,4,,,1,2,3
Merced,4/7/20,3,3,,,0,3,3
Mendocino,4/7/20,0,2,,,0,0,9
San Francisco,4/7/20,88,116,,,36,9,57
Yolo,4/7/20,2,3,,,2,1,4
Madera,4/7/20,0,3,,,0,1,7
Modoc,4/7/20,0,1,,,0,0,
Trinity,4/7/20,0,0,,,0,0,
Tulare,4/7/20,8,23,,,5,6,10
Glenn,4/7/20,0,0,,,0,0,
Calaveras,4/7/20,0,1,,,0,0,8
Solano,4/7/20,14,24,,,7,6,31
Inyo,4/7/20,9,121,,,1,0,3
Amador,4/7/20,0,0,,,0,0,3
Kern,4/7/20,28,91,,,14,13,50
Stanislaus,4/7/20,28,40,,,13,9,32
Fresno,4/7/20,20,82,,,11,13,50
San Bernardino,4/7/20,146,178,,,54,49,126
Sonoma,4/7/20,6,28,,,2,6,21
Imperial,4/7/20,9,14,,,7,2,3
Ventura,4/7/20,22,68,,,9,20,31
Yuba,4/7/20,2,25,,,1,5,6
Orange,4/7/20,143,144,,,71,29,136
Marin,4/7/20,6,5,,,4,4,12
Sutter,4/7/20,0,0,,,,,
Humboldt,4/7/20,2,7,,,0,0,7
Placer,4/7/20,19,18,,,9,3,20
Siskiyou,4/7/20,0,1,,,0,1,5
Santa Barbara,4/7/20,41,8,,,23,1,48
Contra Costa,4/7/20,31,38,,,17,9,82
San Benito,4/8/20,2,0,,,1,0,1
Los Angeles,4/8/20,1331,1077,,,532,211,582
Santa Barbara,4/8/20,42,18,,,19,1,51
Colusa,4/8/20,0,0,,,0,0,6
Glenn,4/8/20,0,0,,,0,0,
Siskiyou,4/8/20,0,3,,,0,1,5
Solano,4/8/20,15,19,,,8,2,27
Madera,4/8/20,0,6,,,0,1,7
Lake,4/8/20,0,0,,,0,1,1
San Joaquin,4/8/20,32,19,,,11,8,18
San Luis Obispo,4/8/20,2,13,,,2,11,22
Mariposa,4/8/20,0,0,,,0,0,
Sacramento,4/8/20,76,81,,,28,12,73
Imperial,4/8/20,16,7,,,8,3,3
Calaveras,4/8/20,0,2,,,0,0,8
Napa,4/8/20,0,7,,,0,1,5
Yuba,4/8/20,2,24,,,1,3,5
Orange,4/8/20,153,181,,,49,34,201
Tehama,4/8/20,0,2,,,0,0,4
El Dorado,4/8/20,16,3,,,0,1,10
San Francisco,4/8/20,90,116,,,36,17,55
Marin,4/8/20,5,3,,,4,2,17
Modoc,4/8/20,0,0,,,0,0,
Stanislaus,4/8/20,30,35,,,11,5,58
Contra Costa,4/8/20,35,50,,,18,13,78
San Bernardino,4/8/20,132,301,,,51,53,144
Kern,4/8/20,31,57,,,16,3,32
Butte,4/8/20,1,15,,,1,7,4
Sonoma,4/8/20,6,22,,,2,5,18
Kings,4/8/20,2,8,,,1,1,1
Tuolumne,4/8/20,0,0,,,0,0,1
Humboldt,4/8/20,2,3,,,0,0,6
Placer,4/8/20,18,15,,,10,2,19
Plumas,4/8/20,0,1,,,0,0,
Nevada,4/8/20,2,7,,,2,2,6
Sutter,4/8/20,0,0,,,,,
